id,owner-uid,name,description,category,attribution,periodOfTime,postingFreq,originator,link,downloadCount,viewCount,licenseId,publicationDate,rowsUpdateAt,tags,rowLabel,metadataLanguage,numberColumns,numColumnDescriptions,numTags
mcp7-tcwf,jbx5-fdna,2016-2019 WDFW Deer and Elk Salvage Permits,"Starting July 2016, Washington deer and elk may be salvaged for use if applicant successfully obtains permit from WDFW.  This dataset will show the user when and where subject deer and elk were located pursuant to applicant's information.  To leverage this dataset to its fullest, use the mapping visualization tools to see salvage location.  Data will be updated twice per year.",Natural Resources & Environment,Washington Department of Fish and WIldlife,"July 1, 2016 through June 30, 2019",Twice Per Year - Typically January 1 and July 1of each year,WDFW,,0,0,,2018-07-10 10:50:49,2019-07-16 09:07:06,"['deer', 'elk', 'road kill', 'salvage', 'game', 'wildlife']",,,7,0,6
gtd3-scga,7ykf-4t5h,Report Card Enrollment 2019-20 School Year,"This file includes Report Card enrollment data from 2019-20 school year. Data is disaggregated by school, district, and the state level and includes counts of students by the following groups: grade level, gender, race/ethnicity, and student programs and special characteristics. Please review the notes below for more information.",Education,OSPI,,,,https://washingtonstatereportcard.ospi.k12.wa.us/,3434,7389,,2021-01-20 11:50:19,2021-01-20 11:50:08,"['ospi', 'reportcard', 'k-12', '2020', 'enrollment', 'student']","Single Organization (School, District, or State) by Grade Level",,43,31,6
6du3-3h9e,h2ue-vnnt,CPA Search,"1.	Board Orders prior to December 31, 2019 may not be accessible.  If you need assistance, please contact us at (360) 753-2586 or customerservice@acb.wa.gov.
2.	As of January 1, 2020, all newly posted Board Orders will be web accessible. 

Disclaimer: In the interest of transparency, the Board has made a copy of the selected portions of the database available through this website. Although this information is updated nightly, the information found through this service is not guaranteed to be accurate or timely.

The Board does not guarantee the use of this information for any purpose and as such, the information obtained from this database should not be considered an official endorsement of any individual or firm.

To inquire about any disciplinary actions taken against an individual or firm, please contact enforcement at (360) 664-9266. For all other inquiries, please contact customer service at (360) 753-2586.",Consumer Protection,Wahington State Board of Accountancy,CY2017,Weekly,Wahington State Board of Accountancy,https://acb.wa.gov/,3500,7261,PUBLIC_DOMAIN,2018-06-01 12:03:19,2021-02-15 08:28:08,"['cpa', 'accountant', 'license', 'licensing', 'certificate', 'accountancy', 'business']",,English,13,0,7
fgyz-n3uk,h2p6-jrpv,WDFW-Salmonid Stock Inventory Population Escapement,WDFW SaSI wild salmonid abundance,Natural Resources & Environment,Washington Department of Fish and Wildlife,,,,http://wdfw.wa.gov/score,2622,6943,,2019-05-09 12:13:35,2021-02-15 06:03:36,"['wdfw', 'sasi', 'salmon', 'state-of-the-salmon']",Row,,16,12,4
f6w7-q2d2,eagg-6py7,Electric Vehicle Population Data,This dataset shows the Battery Electric Vehicles (BEVs) and Plug-in Hybrid Electric Vehicles (PHEVs) that are currently registered through Washington State Department of Licensing (DOL).,Transportation,Department of Licensing,"Data includes Battery Electric Vehicles and Plug-in Hybrid Electric Vehicles registered as of January 31, 2021.",Monthly,DOL Data Team,,11435,6175,,2020-02-06 15:35:46,2021-02-11 13:11:16,"['tesla', 'leaf', 'nissan', 'model 3', 'dol', 'department of licensing', 'green report', 'ev', 'evs', 'phev', 'phevs', 'bev', 'bevs', 'electric', 'hybrid', 'vehicle', 'plug-in', 'volt', 'bolt', 'chevy', 'chevrolet', 'car', 'environment', 'clean energy', 'population', 'hybrids', 'plug-ins', 'vehicles', 'cars', 'energy', 'nhtsa', 'rao_open_data', 'dol_open_data']",Vehicle,,18,15,33
n8q6-4twj,vrr3-nct2,"Master Contract Sales Data by Customer, Contract, Vendor","DES is publishing Master Contract spend as data becomes available. The spend is reported by vendors and is reported by contract and customer. Includes OMWBE, Vet and Small Business status as well.",Procurements and Contracts,,Calendar Year 2015 to current,Quarterly,,,2159,5712,,2020-06-03 11:18:36,2020-09-28 11:14:14,"['master contracts', 'contracts', 'procurement', 'spend', 'vendor']",Row,,14,0,5
ncqh-ypvf,h2p6-jrpv,WDFW-Salmonid Stock Inventory Populations,WDFW SaSI wild samonid populations,Natural Resources & Environment,Washington Department of Fish and Wildlife,,,,http://wdfw.wa.gov/score,3053,5321,,2020-06-09 12:55:08,2021-02-15 06:03:28,"['wdfw', 'sasi', 'salmon', 'state-of-the-salmon']",,,22,17,4
j78t-andi,6hhm-htpq,Imaged Documents and Reports,"This data set an index to all PDC imaged reports and documents. Political disclosure reports are included for the last 10 years. Other document types are included based on the PDC record retention schedule or 10 years. The number of years is determined by looking at both the election year and date submitted and including documents that meet either criteria (favoring the inclusion of documents). Each record contains a link to view the actual imaged document or a link on how to request the document for F1 statements of financial affairs.

The dataset includes both original and amended reports and documents. Data consumers must look at the individual documents to determine if a particular document has been superseded by an amendment. For example, a candidate might file a C4 summary report and file an amendment to the report. There is no indicator on the original C4 that it has been amended. For most documents, amendments have the term ""AMENDED"" as part of the origin field but the original document will not contain any indicator that it has been superseded by an amendment.

Lobbyist L1, L2 and L3 reports are included through 2015 and partial records for 2016. In mid 2016 the PDC discontinued imaging lobbyist L1, L2 and L3 reports. Please refer to the ""Lobbyist Compensation and Expenses"" dataset or the PDC online filing system at https://accesshub.pdc.wa.gov for the complete 2016 and later lobbyist information. The statement above does not apply to Public Agency Lobbying (L5) reports.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Washington State Public Disclosure Commission,Last 10 years. See description,Daily,,http://www.pdc.wa.gov,965,4885,PUBLIC_DOMAIN,2021-02-14 23:12:09,2021-02-15 13:00:07,"['political finance', 'elections', 'contributions', 'campaign', 'political committee', 'disclosure']",Document image,,17,17,6
vgcw-qfjm,v3pq-y2y4,LCB Local Authority Letters,,Public Safety,,,,,,16028,4538,,2015-07-01 01:02:06,2021-02-15 02:15:14,N/A,,,39,0,0
cvrw-ujje,e7wh-v535,Washington Health Workforce Survey Data,"The Washington State Department of Health presents this information as a service to the public. This includes information on the work status, practice characteristics, education, and demographics of healthcare providers, provided in response to the Washington Health Workforce Survey. 
 
This is a complete set of data across all of the responding professions. The data dictionary identifies questions that are specific to an individual profession and aren't common to all surveys. The dataset is provided without identifying information for the responding providers. 
 
More information on the Washington Health Workforce Survey can be found at www.doh.wa.gov/workforcesurvey",Health,WA-DOH,,Monthly,WA-DOH,,0,0,,2018-11-15 14:49:06,2021-02-15 10:30:26,"['health', 'workforce', 'washington', 'state', 'department', 'health care', 'provider', 'survey']",,,128,128,8
7qr9-q2c9,6hhm-htpq,Campaign Finance Reporting History,"This dataset contains a list of all campaign finance reports (C3 and C4) for the last 10 years including attached schedules. It includes reports that have been superseded by an amendment. 

The primary purpose of this dataset is for data consumers to track report amendments and to examine the reporting history for a filer. Refer to other datasets to get actual values for any of the reports referenced herewith.

For candidates, the number of years is determined by the year of the election, not necessarily the year the report was filed. For political committees, the number of years is determined by the calendar year of the reporting period.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication and or referenced documents constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Last 10 years. See description,Daily,,http://www.pdc.wa.gov,1575,3959,PUBLIC_DOMAIN,2021-01-27 12:29:34,2021-02-15 14:50:25,"['political finance', 'elections', 'campaign', 'political committee']",Campaign finance report,,26,26,4
qhn8-3a9e,atpv-6pyv,Department of Health Contracts Started or Amended During State Fiscal Year 2018,"A partial list of contracts the State Department of Health started or amended between July 1, 2017 and June 30, 2018. Includes grants and contracts for goods and professional services tracked in the department's primary contract database, the Enterprise Contract Management System (ECMS). It does not include contracts many of the department's contracts with Washington's local health jurisdictions, or contracts for expert witnesses, purchase orders, data sharing agreements, contracts issued by the department but not tracked in ECMS, or contracts exempt from disclosure under state or federal regulation. 

In 2017, the department added a data element to categorize entities. This is not found in prior years' data sets.

Acronyms commonly found in this data set are:

CBO=Community Based Organizations/Non-Profits
CLH=Local Health Jurisdictions
EMS= EMS/Trauma Centers
GVF=Government Federal
GVL=Government Local (EXCEPT Con-Con/LHJ)
GVS=Government State (EXCEPT Higher Ed)
HED=Higher Education
HSP=Hospitals
POP = Period of Performance
PRV=Private/For-Profits 
SCH=Schools, School Districts & Education Institutions (excluding Higher Ed)
SOW = Statement of Work
TRB=Tribal Entity",Procurements and Contracts,Washington State Department of Health,07/01/2017 - 06/30/2018,,,http://www.doh.wa.gov,439,3929,,2018-10-24 14:04:22,2018-10-24 14:04:21,"['department of health', 'doh', 'health', 'contracts', 'grants', 'procurement', 'amendments', 'state fiscal year 2018', 'sfy 18', 'expenditures', 'washington state', 'wa']",,,9,0,12
u4gd-6wxx,7ykf-4t5h,Report Card Enrollment 2018-19 School Year,"This file includes Report Card enrollment data from 2018-19 school year. Data is disaggregated by school, district, and the state level and includes counts of students by the following groups: grade level, gender, race/ethnicity, and student programs and special characteristics. Please review the notes below for more information.",Education,OSPI,,,,https://washingtonstatereportcard.ospi.k12.wa.us/,1342,3799,,2021-01-20 11:53:23,2021-01-20 11:53:22,"['ospi', 'enrollment', '2019', 'student', 'reportcard', 'k-12']","Single Organization (School, District, or State) by Grade Level",,43,30,6
5y3z-mgxd,7ykf-4t5h,Report Card Assessment Data 2018-19 School Year,"This file includes Report Card assessment data from 2018-19 school year. Data is disaggregated by school, district, and the state level and includes counts of students by the following groups: grade level, gender, race/ethnicity, and student programs and special characteristics. Please review the notes below for more information.",Education,OSPI,,,,https://washingtonstatereportcard.ospi.k12.wa.us/,940,3374,,2019-09-27 12:26:08,2019-09-27 12:26:08,"['ospi', 'k-12', '2019', 'student', 'assessment', 'reportcard']","Single Organization (School, District, or State) by Grade Level and Student Group",,30,25,6
3h9x-7bvm,6hhm-htpq,Campaign Finance Summary,"This dataset contains campaign finance summary records for candidate and committee campaigns for the last 10 years. The data present a summary with one record per candidate or committee for an election year that summarized the campaign contributions ,expenditures, debts, etc up to the point in time the summary was generated. 

For candidates campaigns, the number of years is determined by the year of the election, not necessarily the year the data was reported. 

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication and or referenced documents constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Last 10 years. See description,Daily,,http://www.pdc.wa.gov,3502,2935,PUBLIC_DOMAIN,2020-11-19 11:47:42,2021-02-15 14:50:25,"['political finance', 'elections', 'campaign', 'political committee']",Candidate campaign finance summary,,61,61,4
um6h-4brj,qav9-tahu,WAOFM - Congressional Districts - Table 1: Census 2010 Population and Housing,Census 2010 population and housing for 2012 congressional districts based on Washington State Redistricting Commission plan C-JOINTSUB_2-1 as amended by Engrossed House Concurrent Resolution 4409.,Demographics,"Washington State Office of Financial Management, Forecasting Division",,,,http://www.ofm.wa.gov/pop/census2010/default.asp,2253,2936,PUBLIC_DOMAIN,2012-02-23 11:03:40,2012-02-23 11:03:13,"['wa', 'washington', 'ofm', 'state', 'congressional district', 'population', 'housing', 'redistricting']",,,11,0,8
pcn2-jime,sbxf-tc9c,L&I Affidavit Details -  Journey Level Trades And Wage Rates,Affidavit Details -  Journey Level Trades And Wage Rates,Labor,L&I,,,,,967,2523,,2020-10-06 19:18:32,2021-02-15 07:02:58,"['affidavit', 'contractor', 'wage', 'trade', 'job classification', 'benefits']",Row,,8,8,6
xfwh-dmij,vrr3-nct2,Agency Contracts Fiscal Year 2017,This list of agency contracts is published in compliance with RCW 39.26.210.,Procurements and Contracts,,,,,,1065,2420,,2018-09-10 07:27:32,2019-05-29 09:24:46,"['contracts', 'procurement', 'report', 'agency', 'spend']",,,17,0,5
vtkh-65is,dkdf-7x68,Cleanup Sites in Washington State,"This is a list of cleanup sites in Washington State. It includes sites and associated websites.  It includes location data, Cleanup Status, Site Rank – if the site is ranked, and if the site has an Environmental Covenant.  

Over half the cleanup sites have a status of “No Further Action Required/Decision” or NFA.  If a site has a NFA it includes the latest NFA date and NFA reason.  

The Washington Department of Ecology (Toxics Cleanup Program) works to clean up contaminated sites/properties throughout the state of Washington. This data was downloaded from the Integrated Site Information System (ISIS) database and is monthly.",Natural Resources & Environment,Toxics Cleanup Program : Washington Department of Ecology,,,,,0,0,,2019-07-23 14:35:59,2019-07-23 14:35:31,"['cleanup sites', 'mtca', 'warm ranking', 'toxics cleanup', 'cleanup', 'cleanup status', 'ecology', 'nfa date', 'nfa reason']",,,18,6,9
mcr6-ujqw,7tg3-kuwr,ARTS Public Data,Apprenticeship Registration and Tracking System Data,Labor,WA State Department of Labor & Industries,,,,,1907,2320,PUBLIC_DOMAIN,2021-01-13 12:59:15,2021-02-04 11:40:56,"['apprentice', 'apprenticeship']",Row,,48,0,2
292v-tb9r,7ykf-4t5h,Report Card Assessment Data from 2014-15 to Current Year,"This file includes Report Card assessment data from 2014-15 through the most current year of data. Data is disaggregated by school, district, and the state level and includes counts of students by the following groups: grade level, gender, race/ethnicity, and student programs and special characteristics. Please review the notes below for more information and notes for downloading this data.",Education,OSPI,,,,https://washingtonstatereportcard.ospi.k12.wa.us/,672,2271,,2019-09-27 13:17:28,2019-09-27 13:17:22,"['ospi', 'reportcard', 'assessment', 'k-12', 'student', '2015', '2016', '2017', '2018', '2019']","Single Organization (School, District, or State) by Grade Level and Student Group",,30,25,10
ciwg-agsx,54vy-b9jn,L&I Contractor License Data - Insurance,"State of Washington, Labor & Industries contractor license and insurance data",Labor,Labor & Industries,,Daily,,http://www.lni.wa.gov/TradesLicensing/Contractors/HireCon/Verify,3052,2251,PUBLIC_DOMAIN,2016-04-27 08:51:35,2021-02-15 12:22:42,"['l&i', 'lni', 'labor & industries', 'contractor', 'license']",L&I Contractor License Insurance Data,,18,0,5
rpr4-cgyd,eagg-6py7,Electric Vehicle Title and Registration Activity,"This shows records of title activity (transactions recording changes of ownership), and registration activity (transactions authorizing vehicles to be used on Washington public roads).",Transportation,Department of Licensing,Data includes transactions completed January 2010 through January 2021.,Monthly,,,1090,2214,,2021-01-12 14:14:28,2021-02-11 13:20:52,"['phev', 'hybrid', 'registrations', 'titles', 'tesla', 'leaf', 'nissan', 'model 3', 'dol', 'department of licensing', 'green report', 'ev', 'evs', 'phevs', 'bev', 'bevs', 'electric', 'hybrids', 'vehicle', 'vehicles', 'plug-in', 'plug-ins', 'volt', 'bolt', 'chevy', 'chevrolet', 'car', 'cars', 'environment', 'clean energy', 'energy', 'population', 'nhtsa', 'rao_open_data', 'dol_open_data']",Transaction,,30,30,35
6iji-4nux,7ykf-4t5h,Report Card Graduation 2018-19,"This file includes Report Card Graduation data for the 2018-19 school year. This data is disaggregated by the school, district, and state levels and includes counts and graduation rates of students by the following groups: grade level, gender, race/ethnicity, and student programs and special characteristics. Please review the notes below for more information and notes for downloading this data.",Education,OSPI,,,,https://washingtonstatereportcard.ospi.k12.wa.us/,841,2152,,2019-12-04 10:17:05,2020-12-16 16:12:47,"['ospi', 'reportcard', 'k-12', 'student', '2019', 'graduation']",,,32,24,6
hjdc-v2n4,h2p6-jrpv,WDFW-Hatcheries,A list of hatcheries presented in the Salmon Conservation Reporting Engine (SCoRE),Natural Resources & Environment,Washington Department of Fish and Wildlife,,,,http://wdfw.wa.gov/score,0,0,,2019-05-15 17:43:41,2021-02-15 06:03:41,"['wdfw', 'hatcheries', 'salmon']",,,26,11,3
mthi-ii8j,h2p6-jrpv,WDFW Item Statistics By Month,"Data provided here is used by WDFW’s partners, government entities, schools, private businesses, and the general public. WDFW actively promotes inter-agency data exchange and resource sharing. Every effort is made to provide accurate, complete, and timely information on this site. However, some content may be incomplete or out of date. The content on this site is subject to change without notice. The Washington Department of Fish and Wildlife (WDFW) shall not be liable for any activity involving this data with regard to lost profits or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",Natural Resources & Environment,,,,,,563,2119,,2015-05-14 15:16:31,2015-05-15 21:46:03,"['wdfw', 'net revenue', 'licensing']",,,11,11,3
e6ip-wkqq,qav9-tahu,"WAOFM - Census - Population Density by County by Decade, 1900 to 2010",Washington state population density by county by decade 1900 to 2010.,Demographics,"Washington State Office of Financial Management, Forecasting Division",,,,http://www.ofm.wa.gov/pop/popden/default.asp,4029,2079,PUBLIC_DOMAIN,2012-02-08 17:37:14,2012-02-08 17:36:02,"['wa', 'washington', 'ofm', 'county', 'population', 'density', 'state-of-the-salmon']",,,13,0,7
t9je-9qwa,sbxf-tc9c,L&I Intent Project Details,Intent filed by an employer/contractor for work on a public works project.,Labor,L&I,,,,,3175,2072,,2020-10-06 19:21:46,2021-02-15 07:04:14,"['contractor', 'project', 'company or agency']",Row,,43,43,3
5sqj-8rp7,kp8e-e2fz,Western Washington Hydrology Model (WWHM),"This dataset includes versions of the WWHM as they are released, including installation files and descriptions of changes along with dates and version numbers.",Natural Resources & Environment,Department of Ecology,,,,,1941,2020,,2020-01-17 10:29:20,2020-01-16 13:57:13,"['ecology', 'wwhm', 'western washington hydrology model', 'ms4', 'hydrology', 'model']",Row,,6,6,6
ie96-cgrn,3pra-yts3,"All students, kindergarten through 12th grade, immunization data by school, 2015-2016",Washington student immunization rates by school for 2015-2016,Health,"Office of Immunization and Child Profile, Department of Health",,,,http://www.doh.wa.gov/DataandStatisticalReports/HealthBehaviors/Immunization/SchoolReports/DataTables,4994,1957,,2016-04-13 12:10:37,2016-04-13 12:03:06,"['immunization', 'vaccination', 'student', 'child health', 'department of health', 'mmr', 'polio', 'dtap', 'hepb', 'varicella']",School,,36,0,10
jeuk-pueh,vrr3-nct2,Agency Contracts Fiscal Year 2014,List of agency contracts in compliance with RCW 39.26,Procurements and Contracts,Department of Enterprise Services,,,,,0,0,PUBLIC_DOMAIN,2018-05-08 13:13:14,2018-05-08 13:12:26,"['contracts', 'procurement', 'report']",Row,,17,0,3
